city,res,origins,departure,budget,samples,mode,exclude,variant,origin,fine_population,actual_population,signed_error
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b433fffff,2.300363e6,2.587573e6,287210.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b4e5fffff,2.300044e6,2.583247e6,283203.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b5cbfffff,2.368971e6,2.649929e6,280958.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b5ddfffff,2.367729e6,2.645289e6,277560.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b417fffff,2.310543e6,2.587121e6,276578.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b43bfffff,2.309779e6,2.585866e6,276087.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b411fffff,2.312978e6,2.588828e6,275850.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b415fffff,2.310734e6,2.585866e6,275132.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b41dfffff,2.378864e6,2.648437e6,269573.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,free,881e15b5e1fffff,2.37731e6,2.645558e6,268248.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b62dfffff,2.449105e6,2.306882e6,-142223.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b717fffff,2.446975e6,2.308126e6,-138849.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b73dfffff,2.453305e6,2.314626e6,-138679.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b713fffff,2.44693e6,2.309404e6,-137526.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b445fffff,2.44693e6,2.310714e6,-136216.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b625fffff,2.442398e6,2.306319e6,-136079.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b71bfffff,2.442398e6,2.306319e6,-136079.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b739fffff,2.449577e6,2.313545e6,-136032.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b71dfffff,2.436465e6,2.300511e6,-135954.0
Vienna,6,127,28800000,10800000,96,mean_intersection,false,walking,881e15b715fffff,2.44693e6,2.312588e6,-134342.0
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aad9fffff,2.481116e6,5.150317e6,2.669201e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aadbfffff,2.618337e6,5.150317e6,2.53198e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aad3fffff,2.668734e6,5.150317e6,2.481583e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aa91fffff,2.679397e6,5.150317e6,2.47092e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aa9dfffff,2.679397e6,5.150317e6,2.47092e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aad7fffff,2.679397e6,5.150317e6,2.47092e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aa99fffff,2.70976e6,5.150317e6,2.440557e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89aa95fffff,2.679397e6,5.111649e6,2.432252e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89af67fffff,2.62025e6,4.952514e6,2.332264e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,free,881f89af51fffff,2.622953e6,4.953382e6,2.330429e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aad9fffff,2.481116e6,5.150317e6,2.669201e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aadbfffff,2.618337e6,5.150317e6,2.53198e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aad3fffff,2.668734e6,5.150317e6,2.481583e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa91fffff,2.679397e6,5.150317e6,2.47092e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa9dfffff,2.679397e6,5.150317e6,2.47092e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aad7fffff,2.679397e6,5.150317e6,2.47092e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa99fffff,2.70976e6,5.150317e6,2.440557e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa95fffff,2.679397e6,5.111649e6,2.432252e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89af67fffff,2.62025e6,4.952514e6,2.332264e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,zero,881f89af51fffff,2.622953e6,4.953382e6,2.330429e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1b1fffff,3.357121e6,1.932042e6,-1.425079e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89ae69fffff,2.621612e6,1.198909e6,-1.422703e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89ae65fffff,2.6204e6,1.198367e6,-1.422033e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89ae61fffff,2.6204e6,1.198731e6,-1.421669e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1b7fffff,3.357121e6,1.994759e6,-1.362362e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89af1dfffff,2.5449e6,1.195103e6,-1.349797e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89a197fffff,2.655025e6,1.330063e6,-1.324962e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89af5bfffff,2.621741e6,1.301973e6,-1.319768e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89a1b3fffff,2.655025e6,1.336363e6,-1.318662e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,walking,881f89ae6dfffff,2.655025e6,1.336363e6,-1.318662e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1b1fffff,3.357121e6,1.909523e6,-1.447598e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89ae69fffff,2.621612e6,1.182585e6,-1.439027e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89ae65fffff,2.6204e6,1.182043e6,-1.438357e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89ae61fffff,2.6204e6,1.182407e6,-1.437993e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1b7fffff,3.357121e6,1.966929e6,-1.390192e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89af43fffff,3.357121e6,1.984011e6,-1.37311e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89af1dfffff,2.5449e6,1.17969e6,-1.36521e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89af5bfffff,2.621741e6,1.285698e6,-1.336043e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89a197fffff,2.655025e6,1.328076e6,-1.326949e6
Salzburg,7,127,28800000,10800000,4,mean_intersection,false,independent,881f89a1b3fffff,2.655025e6,1.334376e6,-1.320649e6
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89a8d1fffff,299072.0,381450.0,82378.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89a8d9fffff,311290.0,387100.0,75810.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89af21fffff,339510.0,412826.0,73316.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89af27fffff,339934.0,412826.0,72892.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89a8ddfffff,277620.0,348887.0,71267.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89a8d3fffff,325460.0,385999.0,60539.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89a18dfffff,335300.0,392383.0,57083.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89af67fffff,356507.0,412826.0,56319.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89af2dfffff,356254.0,412394.0,56140.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,free,881f89aaa3fffff,285902.0,339793.0,53891.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af43fffff,409739.0,287671.0,-122068.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af5dfffff,405984.0,284069.0,-121915.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af45fffff,403334.0,290477.0,-112857.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af6bfffff,402026.0,289206.0,-112820.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af47fffff,405138.0,293252.0,-111886.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af5bfffff,394412.0,284203.0,-110209.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af4dfffff,401304.0,292228.0,-109076.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89aa93fffff,398953.0,290838.0,-108115.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89a1b3fffff,395848.0,288748.0,-107100.0
Salzburg,7,127,28800000,10800000,96,mean_intersection,false,walking,881f89af41fffff,396718.0,290215.0,-106503.0
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89aad9fffff,2.481116e6,6.021639e6,3.540523e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89a8d1fffff,2.457764e6,5.974972e6,3.517208e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89aadbfffff,2.618337e6,6.021639e6,3.403302e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89a1e1fffff,2.646598e6,6.020543e6,3.373945e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89aa81fffff,2.652592e6,6.021639e6,3.369047e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89aa83fffff,2.652592e6,6.020543e6,3.367951e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89a8c9fffff,2.652592e6,6.02036e6,3.367768e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89a8cbfffff,2.652592e6,6.02036e6,3.367768e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89aa8bfffff,2.652592e6,6.02036e6,3.367768e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,free,881f89af59fffff,2.655025e6,6.021639e6,3.366614e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89aad9fffff,2.481116e6,6.021639e6,3.540523e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89a8d1fffff,2.457764e6,5.974972e6,3.517208e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89aadbfffff,2.618337e6,6.021639e6,3.403302e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89a1e1fffff,2.646598e6,6.020543e6,3.373945e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa81fffff,2.652592e6,6.021639e6,3.369047e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89aa83fffff,2.652592e6,6.020543e6,3.367951e6
Salzburg,6,127,28800000,10800000,4,mean_intersection,false,zero,881f89a8c9fffff,2.652592e6,6.02036e6,3.367768e6
