"c","probe","company"
4157,"1970-01-02 07:20:00.000","ter"
13422,"1970-01-02 07:20:00.000","uk"
2414,"1970-01-02 07:20:00.000","sncb"
1854,"1970-01-02 07:25:00.000","tgv"
4088,"1970-01-02 07:25:00.000","ter"
13535,"1970-01-02 07:25:00.000","uk"
59383,"1970-01-02 07:25:00.000","swiss"
2330,"1970-01-02 07:25:00.000","sncb"
348,"1970-01-02 07:25:00.000","intercites"
355,"1970-01-02 07:30:00.000","intercites"
2347,"1970-01-02 07:30:00.000","sncb"
58530,"1970-01-02 07:30:00.000","swiss"
13983,"1970-01-02 07:30:00.000","uk"
4069,"1970-01-02 07:30:00.000","ter"
1906,"1970-01-02 07:30:00.000","tgv"
2404,"1970-01-02 07:35:00.000","sncb"
1998,"1970-01-02 07:35:00.000","tgv"
60333,"1970-01-02 07:35:00.000","swiss"
14224,"1970-01-02 07:35:00.000","uk"
4172,"1970-01-02 07:35:00.000","ter"
338,"1970-01-02 07:35:00.000","intercites"
2042,"1970-01-02 07:40:00.000","tgv"
14265,"1970-01-02 07:40:00.000","uk"
4228,"1970-01-02 07:40:00.000","ter"
60754,"1970-01-02 07:40:00.000","swiss"
2561,"1970-01-02 07:40:00.000","sncb"
368,"1970-01-02 07:40:00.000","intercites"
378,"1970-01-02 07:45:00.000","intercites"
2556,"1970-01-02 07:45:00.000","sncb"
2117,"1970-01-02 07:45:00.000","tgv"
60184,"1970-01-02 07:45:00.000","swiss"
4256,"1970-01-02 07:45:00.000","ter"
14545,"1970-01-02 07:45:00.000","uk"
379,"1970-01-02 07:50:00.000","intercites"
2194,"1970-01-02 07:50:00.000","tgv"
60961,"1970-01-02 07:50:00.000","swiss"
14958,"1970-01-02 07:50:00.000","uk"
4221,"1970-01-02 07:50:00.000","ter"
2567,"1970-01-02 07:50:00.000","sncb"
60211,"1970-01-02 07:55:00.000","swiss"
4077,"1970-01-02 07:55:00.000","ter"
15081,"1970-01-02 07:55:00.000","uk"
2313,"1970-01-02 07:55:00.000","tgv"
2470,"1970-01-02 07:55:00.000","sncb"
356,"1970-01-02 07:55:00.000","intercites"
2449,"1970-01-02 08:00:00.000","sncb"
379,"1970-01-02 08:00:00.000","intercites"
59357,"1970-01-02 08:00:00.000","swiss"
4057,"1970-01-02 08:00:00.000","ter"
15447,"1970-01-02 08:00:00.000","uk"
2371,"1970-01-02 08:00:00.000","tgv"
2507,"1970-01-02 08:05:00.000","sncb"
2391,"1970-01-02 08:05:00.000","tgv"
4123,"1970-01-02 08:05:00.000","ter"
15645,"1970-01-02 08:05:00.000","uk"
61318,"1970-01-02 08:05:00.000","swiss"
380,"1970-01-02 08:05:00.000","intercites"
2621,"1970-01-02 08:10:00.000","sncb"
2402,"1970-01-02 08:10:00.000","tgv"
