"start_lat","start_lon","finish_lat","finish_lon","speed","count"
22.473,88.094,22.474,88.054,70.59765355539678,115
46.946,7.39,46.949,7.437,43.41932089245197,6
12.182,78.422,12.251,78.439,59.31750176179409,6
49.204,16.636,49.353,16.647,66.12465513650625,1
51.742,19.615,51.763,19.543,109.66973084053086,145
10.675,79.456,10.765,79.634,30.342922853947147,2
50.067,22.503,50.08,22.453,76.4090746230475,65
37.17,126.291,37.182,126.243,26.717186545405756,2
51.956,21.534,52.251,21.052,67.9348196961696,9
38.714,16.12,38.725,16.025,83.50550664805444,26
25.567,84.016,25.57,84.089,214.95193264923594,6
19.448,76.433,19.83,75.893,84.04729620386132,7
55.885,-4.353,55.888,-4.365,24.328200844772788,217
51.268,-1.088,51.459,-0.972,71.66923473474473,4
48.605,1.682,48.644,1.832,102.04768512757713,54
34.249,127.014,34.307,126.992,20.16494634698057,2
10.396,78.034,10.594,78.398,454.22267754834155,2
25.846,-80.26,25.846,-80.249,32.40976991700961,90
50.005,12.083,50.307,11.924,78.96972089941185,1
49.837,14.676,49.851,14.702,40.09983965920064,53
51.499,-0.877,51.511,-0.882,29.180697068363074,78
40.793,-74.2,40.801,-74.205,28.739891616207075,125
25.392,85.913,25.405,85.881,70.4560107820106,5
50.407,14.978,50.414,15.006,38.97553962811334,69
-33.746,150.9,-33.728,150.886,72.33452900762069,1092
53.748,-0.732,53.765,-0.861,86.72943285440078,129
50.938,6.687,50.952,6.646,49.53312574144023,84
26.284,73.023,26.729,72.9,42.905815757200834,2
51.094,17.658,51.128,17.546,58.22879261601098,50
25.206,85.539,25.274,85.53,111.02015690362097,8
48.303,16.564,48.34,16.733,99.43384942743779,114
51.32,-2.214,51.38,-2.145,62.03023603281345,52
52.479,4.657,52.546,4.659,56.01921829822401,7
60.13,16.216,60.148,16.166,51.00550742387982,4
56.032,14.151,56.067,14.48,96.16857115087477,253
24.195,92.541,24.231,92.527,13.32937360018171,2
46.391,6.229,46.399,6.217,76.5008721577216,143
52.195,0.138,52.224,0.159,53.7248540056781,584
22.601,88.385,23.036,88.868,39.4991086573573,2
40.14,15.173,40.228,15.158,99.23820092718942,102
52.389,4.838,52.645,5.055,76.93372488832179,500
51.349,7.572,51.362,7.46,39.837450218468945,16
52.474,1.748,52.478,1.716,32.971377685849106,109
47.747,7.309,47.781,7.225,73.1955485604565,3
50.042,19.2,50.073,19.242,89.05649700970166,17
54.356,18.644,54.382,18.605,76.17069367207453,410
48.099,20.811,48.121,20.907,34.72403693269111,1
47.292,11.025,47.301,11.079,84.06373575248446,123
47.616,15.748,47.621,15.784,55.214657680073636,22
54.305,8.648,54.323,8.71,66.99360718964232,38
35.64,139.599,35.651,139.637,72.18528062599312,278
21.227,77.756,21.327,77.996,57.9563727255854,4
53.924,9.51,53.926,9.384,83.08866966032816,62
42.861,27.13,42.886,27.194,59.48378722037181,6
49.695,4.93,49.768,4.726,72.1071910937468,16
47.53,7.71,47.539,7.724,42.9155024279446,371
56.166,15.585,56.182,15.601,40.621901994449914,101
50.26,14.068,50.285,14.078,29.01738166355376,16
23.625,77.88,23.684,77.912,62.98065224192814,2
52.51,13.377,52.516,13.382,33.5784293451319,469
51.932,22.414,51.94,22.494,110.76659170589623,25
47.142,9.831,47.155,9.814,58.07678890056667,75
48.306,16.356,48.316,16.347,77.25631607408573,341
50.51,14.059,50.511,14.081,46.389220576224346,57
52.552,12.939,52.592,12.629,116.89732563589094,61
39.307,-76.616,39.67,-75.754,148.31343109311499,15
48.956,14.055,48.978,14.039,40.549896269693896,17
50.762,16.167,50.794,16.127,89.73677334885915,106
26.532,72.979,26.729,72.9,60.424114284346835,2
52.53,13.299,52.534,13.197,104.42927325757894,144
47.264,11.401,47.493,12.061,134.28055903606685,1
48.58,10.494,48.581,10.49,20.73495333364825,33
22.448,84.915,22.498,84.95,43.27183206424243,4
51.452,7.014,51.473,7.139,90.25035397867316,219
22.425,87.308,22.641,87.321,106.81448694372281,12
52.205,20.942,52.214,20.948,32.39097105305183,288
42.245,12.157,42.305,12.089,64.9983419582669,93
43.303,5.38,43.835,5.044,26.027381579810015,4
59.398,18.059,59.4,18.068,34.306542250213404,105
51.834,10.78,51.839,10.788,14.612185442312375,5
52.377,9.975,53.25,10.42,110.92134934322796,1
48.113,16.359,48.139,16.369,61.29327183720616,11
51.533,-0.128,52.631,-1.125,133.3567937133445,210
52.091,0.009,52.114,0.031,60.16468801907341,404
45.761,4.86,46.765,4.5,180.73594273233613,22
23.987,80.432,24.256,80.764,116.26209641402693,4
48.783,9.18,48.804,9.188,46.81180184294963,885
46.422,15.879,46.423,15.984,114.75404661560172,26
29.283,75.468,29.386,75.34,77.71205095276693,14
51.658,6.971,51.751,6.948,69.88952104654958,15
45.785,3.288,45.789,3.238,79.27427047708004,56
48.231,15.653,48.276,15.696,71.99825938186342,3
47.684,17.664,47.717,18.004,129.09943279662758,7
49.588,20.743,49.6,20.722,61.6443771447561,24
45.869,8.978,46.006,8.946,56.665656842034544,29
