network,resolution,city,fold,family,cpu_ms,wall_ms,gc_ms,compile_ms,rss_bytes,external_cores,workers,reused_workers,output_bytes,url
everything,6,Paris,train,1,18.15399999998135,6.255292,0,0,20582678528,0.29511012733619785,3,0,41274,/reachable?network=everything&index=861fb4667ffffff&departure_h=17&budget_h=1.0&max_walk_h=0.5&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=min_union
everything,6,Paris,train,2,2.7870000000120854,1.4955479999999999,0,0,20583092224,4.822981281310356,1,1,1082,/reachable?network=everything&index=861fb4667ffffff&departure_h=8&budget_h=0.5&max_walk_h=0.5&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=2&exclude_origin_population=false
everything,6,Paris,train,2,126.67600000003176,38.599666,0,0,20592812032,3.1949499252135563,3,3,9530,/reachable?network=everything&index=861fb4667ffffff&departure_h=17&budget_h=3.0&max_walk_h=1.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=10&exclude_origin_population=true
everything,6,Paris,train,3,204.02400000000398,62.784409,0,0,20661014528,2.643586242548275,3,3,2234,/reachable?network=everything&index=861fb4667ffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=5&exclude_origin_population=false&window_h=1.6&step_h=0.016666666666666666&window_mode=mean_intersection
everything,6,Paris,train,3,22853.138000000003,7667.4141469999995,0,0,20676214784,1.4929234003259542,3,3,25890,/reachable?network=everything&index=861fb4667ffffff&departure_h=17&budget_h=6.0&max_walk_h=0.0&metric=accessible_population&encoding=string&distance_mode=straight_line&origin_radius=18&exclude_origin_population=true&window_h=13.02&step_h=0.06&window_mode=min_union
everything,6,Berlin,train,0,3.68500000001859,1.9235879999999999,0,0,20681883648,0,1,0,3098,/reachable?network=everything&index=861f1d48fffffff&departure_h=8&budget_h=0.25&max_walk_h=0.1&metric=time&encoding=split&distance_mode=itinerary
everything,6,Berlin,train,0,2.8720000000248547,1.7261240000000002,0,0,20683767808,4.1294831711327635,1,0,14762,/reachable?network=everything&index=861f1d48fffffff&departure_h=17&budget_h=1.0&max_walk_h=0.5&metric=time_distance_quantile&encoding=string&distance_mode=straight_line
everything,6,Berlin,train,1,21.198000000026695,9.977176,0,0,20726784000,0,3,0,9650,/reachable?network=everything&index=861f1d48fffffff&departure_h=8&budget_h=0.5&max_walk_h=0.5&metric=time&encoding=split&distance_mode=itinerary&window_h=0.26666666666666666&step_h=0.016666666666666666&window_mode=min_union
everything,6,Berlin,train,1,46.58200000000079,18.332206,0,0,20741042176,1.2774240080649208,3,0,110826,/reachable?network=everything&index=861f1d48fffffff&departure_h=17&budget_h=3.0&max_walk_h=1.0&metric=time_distance_quantile&encoding=string&distance_mode=straight_line&window_h=1.6&step_h=0.016666666666666666&window_mode=max_intersection
everything,6,Berlin,train,2,5.504999999971005,1.822107,0,0,20741046272,2.4669242856441587,2,2,2234,/reachable?network=everything&index=861f1d48fffffff&departure_h=8&budget_h=1.0&max_walk_h=1.0&metric=accessible_population&encoding=split&distance_mode=itinerary&origin_radius=5&exclude_origin_population=false
