res,origin,departure,budget,fp_cells,fn_cells,fp_population,fn_population
7,881f89a36bfffff,84600000,21600000,594,1211,96843.0,164965.0
7,881f89a767fffff,84600000,21600000,1006,2772,124758.0,380624.0
7,881f89a8b5fffff,84600000,21600000,597,1318,96360.0,172541.0
7,881f89a9b7fffff,84600000,21600000,0,0,0.0,0.0
7,881f89aa85fffff,84600000,21600000,1023,2590,123741.0,364348.0
7,881f89ac03fffff,84600000,21600000,576,1191,95144.0,168267.0
7,881f89ace1fffff,84600000,21600000,74,2232,4485.0,527102.0
7,881f89adcdfffff,84600000,21600000,617,1137,97529.0,158782.0
7,881f89aea1fffff,84600000,21600000,444,2054,75512.0,470008.0
7,881f89af5dfffff,84600000,21600000,1023,2558,123741.0,362300.0
7,881f89b9ddfffff,84600000,21600000,0,0,0.0,0.0
6,881e14db65fffff,28800000,10800000,114,5801,2382.0,1.512927e6
6,881f8932d7fffff,28800000,10800000,117,5846,2247.0,1.544174e6
6,881f89a0a1fffff,28800000,10800000,198,6396,12932.0,1.397725e6
6,881f89a15dfffff,28800000,10800000,316,4239,26561.0,618279.0
6,881f89a23bfffff,28800000,10800000,115,4817,4362.0,1.368433e6
6,881f89a36bfffff,28800000,10800000,734,2978,61707.0,538228.0
6,881f89a767fffff,28800000,10800000,1599,3870,197300.0,877255.0
6,881f89a8b5fffff,28800000,10800000,381,3967,27853.0,608560.0
6,881f89a9b7fffff,28800000,10800000,0,0,0.0,0.0
6,881f89aa85fffff,28800000,10800000,705,5878,91806.0,1.032624e6
6,881f89ac03fffff,28800000,10800000,128,4262,5545.0,1.129664e6
6,881f89ace1fffff,28800000,10800000,109,4479,2230.0,1.141551e6
6,881f89adcdfffff,28800000,10800000,448,3377,369947.0,661029.0
6,881f89aea1fffff,28800000,10800000,137,5883,2454.0,1.542141e6
6,881f89af5dfffff,28800000,10800000,906,8595,112377.0,1.887853e6
6,881f89b9ddfffff,28800000,10800000,0,0,0.0,0.0
6,881e14db65fffff,28800000,21600000,124,41450,1130.0,4.125756e6
6,881f8932d7fffff,28800000,21600000,75,36888,1011.0,3.544136e6
6,881f89a0a1fffff,28800000,21600000,94,38433,1210.0,3.605994e6
6,881f89a15dfffff,28800000,21600000,171,32210,2046.0,3.157239e6
6,881f89a23bfffff,28800000,21600000,50,47721,627.0,6.31947e6
6,881f89a36bfffff,28800000,21600000,445,23730,9864.0,2.168473e6
6,881f89a767fffff,28800000,21600000,555,22911,29970.0,2.216574e6
6,881f89a8b5fffff,28800000,21600000,126,27731,1803.0,2.595463e6
6,881f89a9b7fffff,28800000,21600000,0,0,0.0,0.0
6,881f89aa85fffff,28800000,21600000,486,25375,27556.0,2.357773e6
6,881f89ac03fffff,28800000,21600000,82,41549,1079.0,3.971508e6
6,881f89ace1fffff,28800000,21600000,82,42213,1079.0,3.989047e6
6,881f89adcdfffff,28800000,21600000,598,44038,338424.0,6.235896e6
6,881f89aea1fffff,28800000,21600000,121,41450,1124.0,4.125756e6
6,881f89af5dfffff,28800000,21600000,384,28478,25122.0,2.902081e6
6,881f89b9ddfffff,28800000,21600000,0,0,0.0,0.0
6,881e14db65fffff,84600000,10800000,510,276,242551.0,22148.0
6,881f8932d7fffff,84600000,10800000,87,972,9485.0,95575.0
6,881f89a0a1fffff,84600000,10800000,240,371,22410.0,35010.0
6,881f89a15dfffff,84600000,10800000,113,561,10392.0,52915.0
6,881f89a23bfffff,84600000,10800000,493,0,190330.0,0.0
6,881f89a36bfffff,84600000,10800000,125,523,12745.0,75640.0
6,881f89a767fffff,84600000,10800000,635,675,119341.0,407900.0
6,881f89a8b5fffff,84600000,10800000,76,940,7364.0,84885.0
6,881f89a9b7fffff,84600000,10800000,0,0,0.0,0.0
6,881f89aa85fffff,84600000,10800000,951,981,170278.0,83181.0
6,881f89ac03fffff,84600000,10800000,152,530,13151.0,50659.0
6,881f89ace1fffff,84600000,10800000,413,34,230917.0,1840.0
6,881f89adcdfffff,84600000,10800000,86,842,9237.0,80970.0
6,881f89aea1fffff,84600000,10800000,397,65,138468.0,1961.0
6,881f89af5dfffff,84600000,10800000,1018,655,175276.0,54099.0
6,881f89b9ddfffff,84600000,10800000,0,0,0.0,0.0
6,881e14db65fffff,84600000,21600000,983,1538,276569.0,362571.0
6,881f8932d7fffff,84600000,21600000,651,2435,54442.0,701912.0
6,881f89a0a1fffff,84600000,21600000,746,3103,59153.0,944291.0
6,881f89a15dfffff,84600000,21600000,2693,697,319141.0,108507.0
6,881f89a23bfffff,84600000,21600000,619,2162,102295.0,659403.0
6,881f89a36bfffff,84600000,21600000,2668,714,319479.0,121223.0
6,881f89a767fffff,84600000,21600000,588,9982,49557.0,4.210093e6
6,881f89a8b5fffff,84600000,21600000,2574,728,313966.0,115985.0
6,881f89a9b7fffff,84600000,21600000,0,0,0.0,0.0
6,881f89aa85fffff,84600000,21600000,4347,2015,411046.0,333844.0
6,881f89ac03fffff,84600000,21600000,815,2545,62124.0,713559.0
6,881f89ace1fffff,84600000,21600000,916,1311,273179.0,340687.0
6,881f89adcdfffff,84600000,21600000,669,2389,54924.0,700954.0
6,881f89aea1fffff,84600000,21600000,586,3175,48833.0,954270.0
6,881f89af5dfffff,84600000,21600000,4368,2025,412206.0,334356.0
6,881f89b9ddfffff,84600000,21600000,0,0,0.0,0.0
