city,res,origins,departure,budget,samples,mode,exclude,variant,fine_mean,actual_mean,bias,wmae,abs_relative_p50,abs_relative_p95,min_signed,max_signed,zero_fine,zero_max_abs
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,free,355203.0787401575,467405.3070866142,112202.22834645669,0.31588191393052717,0.3118654007260542,0.4994203479238938,73790.0,181690.0,0,0.0
Salzburg,6,127,28800000,10800000,96,mean_intersection,false,walking,355203.0787401575,336830.23622047243,-18372.84251968504,0.06976723152560105,0.06682935783779115,0.13607388801184683,-63632.0,42500.0,0,0.0
Salzburg,6,1027,28800000,10800000,96,mean_intersection,false,free,171198.09152872444,317595.57740993187,146397.4858812074,0.8551350343566425,0.4487624910878988,13.39460295432412,0.0,407843.0,0,0.0
Salzburg,6,1027,28800000,10800000,96,mean_intersection,false,walking,171198.09152872444,205620.06037000974,34421.9688412853,0.26880372953224324,0.0962794252878023,3.899762938664196,-185496.0,267239.0,0,0.0
Salzburg,6,127,28800000,10800000,1,mean_intersection,false,free,3.737973275590551e6,6.367894897637796e6,2.629921622047244e6,0.7035688669100372,0.9150501645412997,1.2793360540683492,737813.0,4.288382e6,0,0.0
Salzburg,6,127,28800000,10800000,1,mean_intersection,false,walking,3.737973275590551e6,2.530423244094488e6,-1.207550031496063e6,0.323500933090176,0.3027876939590571,0.5296230229043992,-2.980355e6,107176.0,0,0.0
Salzburg,6,127,84600000,21600000,96,mean_intersection,true,free,1.1972151653543308e6,1.6342599291338583e6,437044.76377952757,0.36505114237354214,0.364925184112556,0.5123209349367341,285166.0,665242.0,0,0.0
Salzburg,6,127,84600000,21600000,96,mean_intersection,true,walking,1.1972151653543308e6,1.104528535433071e6,-92686.62992125984,0.09475819889261908,0.06910008145951362,0.3473766748647166,-656367.0,101386.0,0,0.0
Salzburg,6,127,72000000,10800000,96,reachable_union,false,free,2.701428463582676e6,4.654251417568895e6,1.952822953986221e6,0.7228853106094681,0.7638009117685051,1.069205474723323,1.3881336145833363e6,2.504671062499998e6,0,0.0
Salzburg,6,127,72000000,10800000,96,reachable_union,false,walking,2.701428463582676e6,1.8054669370078743e6,-895961.5265748017,0.33166213307257586,0.3364142147678514,0.4817932857078197,-1.600697885416656e6,-102788.86458333489,0,0.0
Salzburg-moved,6,127,84600000,10800000,4,reachable_union,false,free,668195.0551181103,1.121006248031496e6,452811.1929133858,0.6776631904786348,0.7278960819759385,1.1114020005822671,101004.75,868615.75,0,0.0
Salzburg-moved,6,127,84600000,10800000,4,reachable_union,false,walking,668195.0551181103,543676.8248031496,-124518.23031496063,0.19765920524503358,0.1946359754379226,0.39587375333148084,-292483.0,48157.5,0,0.0
