city,radius,samples,step_ms,mode,origin,fine,coarse,signed_error
Paris,18,96,900000,mean_intersection,881fb429e3fffff,1.0696401e7,1.0461397e7,-235004.0
Paris,18,96,900000,mean_intersection,881fb429e5fffff,1.0780581e7,1.0666666e7,-113915.0
Paris,18,96,900000,mean_intersection,881fb429e7fffff,1.0721366e7,1.0452115e7,-269251.0
Paris,18,96,900000,mean_intersection,881fb429e9fffff,1.0882707e7,1.0642521e7,-240186.0
Paris,18,96,900000,mean_intersection,881fb429ebfffff,1.0837175e7,1.0517028e7,-320147.0
Paris,18,96,900000,mean_intersection,881fb429edfffff,1.0887269e7,1.0632653e7,-254616.0
Paris,18,96,900000,mean_intersection,881fb42b01fffff,1.0805879e7,1.0481429e7,-324450.0
Paris,18,96,900000,mean_intersection,881fb42b03fffff,1.0647158e7,1.0421314e7,-225844.0
Paris,18,96,900000,mean_intersection,881fb42b05fffff,1.0946069e7,1.0453899e7,-492170.0
Paris,18,96,900000,mean_intersection,881fb42b07fffff,1.060505e7,1.0118303e7,-486747.0
Paris,18,96,900000,mean_intersection,881fb42b0dfffff,1.0824923e7,1.050113e7,-323793.0
Paris,18,96,900000,mean_intersection,881fb42b15fffff,9.970763e6,1.0002673e7,31910.0
Paris,18,96,900000,mean_intersection,881fb42b17fffff,9.704198e6,9.781922e6,77724.0
Paris,18,96,900000,mean_intersection,881fb42b21fffff,1.1049293e7,1.0545152e7,-504141.0
Paris,18,96,900000,mean_intersection,881fb42b23fffff,1.0634783e7,1.0365245e7,-269538.0
Paris,18,96,900000,mean_intersection,881fb42b25fffff,1.0976357e7,1.0542593e7,-433764.0
Paris,18,96,900000,mean_intersection,881fb42b27fffff,1.1047955e7,1.0532315e7,-515640.0
Paris,18,96,900000,mean_intersection,881fb42b29fffff,1.10492e7,1.0500948e7,-548252.0
Paris,18,96,900000,mean_intersection,881fb42b2bfffff,1.0615709e7,1.0070586e7,-545123.0
Paris,18,96,900000,mean_intersection,881fb42b2dfffff,1.0692863e7,1.0439534e7,-253329.0
Paris,18,96,900000,mean_intersection,881fb42b31fffff,1.0333351e7,1.0284602e7,-48749.0
Paris,18,96,900000,mean_intersection,881fb42b33fffff,1.0448686e7,1.0284816e7,-163870.0
Paris,18,96,900000,mean_intersection,881fb42b35fffff,1.0630688e7,1.0407483e7,-223205.0
Paris,18,96,900000,mean_intersection,881fb42b37fffff,1.0562819e7,1.0337437e7,-225382.0
Paris,18,96,900000,mean_intersection,881fb42b39fffff,9.970239e6,1.002883e7,58591.0
Paris,18,96,900000,mean_intersection,881fb42b3bfffff,9.924848e6,1.0080599e7,155751.0
Paris,18,96,900000,mean_intersection,881fb42b3dfffff,1.0596715e7,1.01841e7,-412615.0
Paris,18,96,900000,mean_intersection,881fb42b61fffff,1.0640809e7,1.045277e7,-188039.0
Paris,18,96,900000,mean_intersection,881fb42b63fffff,1.073259e7,1.0492161e7,-240429.0
