city,radius,origins,departure_ms,budget_h,samples,mode,exclude,core,fine_mean,coarse_mean,bias,mae,wmae,relative_p50,relative_p95,relative_max,zero_baselines,zero_max_abs,min_signed_error,varying_fine_parents,varying_coarse_parents,within_parent_correlation,rank_correlation
Salzburg,6,127,84600000,6,96,mean_intersection,true,7,1.1972151653543308e6,1.355340472440945e6,158125.30708661416,158125.30708661416,0.1320776011384846,0.12322835163967158,0.234275624508083,0.36844384336437014,0,0.0,74196.0,24,24,0.790610471924785,0.8272520622422201
Salzburg,6,127,84600000,6,96,mean_intersection,true,6,1.1972151653543308e6,1.6342599291338583e6,437044.76377952757,437044.76377952757,0.36505114237354214,0.364925184112556,0.5123209349367341,0.6826201436161807,0,0.0,285166.0,6,6,0.7476320456335669,0.7359099643794528
Salzburg,18,1027,28800000,3,96,reachable_union,false,7,1.4941361290672673e6,2.0468303363051768e6,552694.2072379097,552694.2072379097,0.36990887007259227,0.32894731333458405,0.6281010127761101,0.8569653452328875,0,0.0,0.0,162,162,0.9035300301994437,0.9783154972743239
Salzburg,18,1027,28800000,3,96,reachable_union,false,6,1.4941361290672673e6,2.999867296038218e6,1.5057311669709508e6,1.5057311669709508e6,1.007760362444968,1.029511761510964,1.5938944128948203,2.1666580964754196,0,0.0,0.0,27,27,0.8632830179086758,0.9330476723433949
Salzburg-moved,18,1027,84600000,3,4,reachable_union,false,7,363037.30379746837,417412.5401655307,54375.23636806232,54375.23636806232,0.149778647536445,0.07254341887610732,0.6928495076081853,5.880280807321048,0,0.0,0.0,162,162,0.8802312667918907,0.9765093094197224
Salzburg-moved,18,1027,84600000,3,4,reachable_union,false,6,363037.30379746837,584769.5094936709,221732.20569620252,221732.20569620252,0.6107697566526187,0.4509482490914095,2.0885527579565704,19.025084726929276,0,0.0,0.0,27,27,0.7005555842616349,0.8906600745217779
Vienna,57,9919,28800000,3,96,mean_intersection,false,7,376025.9024095171,437584.4556910979,61558.553281580804,61558.553281580804,0.16370827883697084,0.0,0.7163899427254389,35.51729556167877,0,0.0,0.0,1466,1466,0.8670688479353696,0.9979470375112927
Vienna,57,9919,28800000,3,96,mean_intersection,false,6,376025.9024095171,592558.1920556508,216532.2896461337,216532.2896461337,0.5758440795132131,0.0,10.558061084748207,181.5343660968661,0,0.0,0.0,233,233,0.6452207666362634,0.991428322479832
Vienna,57,9919,28800000,3,96,reachable_union,false,7,2.9143357596416357e6,3.3727758778806226e6,458440.11823898676,458440.11823898676,0.157305182397844,0.1544504955648494,0.2917241112604487,1.8082758836998052,0,0.0,0.0,1466,1466,0.9741341240767526,0.9880352050725876
Vienna,57,9919,28800000,3,96,reachable_union,false,6,2.9143357596416357e6,4.135832366261511e6,1.2214966066198752e6,1.2214966066198752e6,0.4191337949235053,0.41841738680408125,0.801378601000116,17.594093194910567,0,0.0,0.0,233,233,0.9369159163686459,0.9610342101643451
