city,radius,samples,step_ms,hours,mode,variant,pair,wall_s,cpu_s,bytes,gc_s,compile_s,rss,external_cores,shared,separate
London,18,96,900000,3,reachable_union,fine,0,64.7955334,439.165031999999,5110934664,0.001957436,0.0,28989165568,0.623113444420258,160780931,2286441034
London,18,96,900000,3,reachable_union,boarding,0,9.170009939,62.90088000000105,2435426720,0.0,0.0,25798938624,0.436108578575689,15190363,116736991
London,18,96,900000,3,reachable_union,boarding,1,9.301885133,62.738674000000174,2435431488,0.0,0.0,22039343104,0.46348949038671994,15190363,116736991
London,18,96,900000,3,reachable_union,fine,1,63.400133814,442.05025699999896,5110932600,0.002054017,0.0,25290117120,0.47160378379756696,160780931,2286441034
London,18,96,900000,3,reachable_union,fine,2,63.65292555,440.62540400000034,5110934664,0.001948398,0.0,29049712640,0.5128530341352373,160780931,2286441034
London,18,96,900000,3,reachable_union,boarding,2,9.335326183,62.48238700000002,2435426720,0.0,0.0,25798938624,0.5053506334405731,15190363,116736991
London,18,96,900000,3,reachable_union,boarding,3,9.395023079,63.143811999998434,2435435312,0.0,0.0,22077534208,0.5115674500787462,15190363,116736991
London,18,96,900000,3,reachable_union,fine,3,63.915460411,441.8008740000005,5110932600,0.001949633,0.0,25328308224,0.5513396253945411,160780931,2286441034
London,18,96,60000,3,mean_intersection,fine,0,43.103334182,294.8830799999996,5109211000,0.001913234,0.0,29110259712,0.5947781183620967,132514130,360270363
London,18,96,60000,3,mean_intersection,boarding,0,5.907305459,39.4455880000005,2444774120,0.0,0.0,25783103488,0.5695341172536048,9027942,21871881
London,18,96,60000,3,mean_intersection,boarding,1,6.223723489,39.57589100000041,2445056608,0.0,0.0,21962944512,0.8956228550119111,9027942,21871881
London,18,96,60000,3,mean_intersection,fine,1,43.541550459,294.59625099999903,5109430240,0.001977572,0.0,25290100736,0.6957434606868311,132514130,360270363
London,18,96,60000,3,mean_intersection,fine,2,43.004291021,294.1885770000008,5109209624,0.001970058,0.0,28989132800,0.6206688301632459,132514130,360270363
London,18,96,60000,3,mean_intersection,boarding,2,5.955469493,39.33636800000022,2444781768,0.0,0.0,25738358784,0.6386787816618825,9027942,21871881
London,18,96,60000,3,mean_intersection,boarding,3,5.879594594,39.37152099999912,2444782712,0.0,0.0,22001135616,0.6137292193208429,9027942,21871881
London,18,96,60000,3,mean_intersection,fine,3,42.584206144,296.0033979999989,5109208248,0.002053952,0.0,25251909632,0.5980292767195641,132514130,360270363
London,18,96,60000,3,reachable_union,fine,0,42.609882616,293.39651199999935,5099198536,0.002037544,0.0,29049696256,0.6159014385587676,132514130,360270363
London,18,96,60000,3,reachable_union,boarding,0,5.768581349,38.492919000000256,2434766168,0.0,0.0,25760731136,0.6304983461202118,9027942,21871881
London,18,96,60000,3,reachable_union,boarding,1,5.737752019,38.67197999999917,2434774760,0.0,0.0,22001135616,0.6375353950401075,9027942,21871881
London,18,96,60000,3,reachable_union,fine,1,43.075557453,293.99200999999994,5099196472,0.002014914,0.0,25290100736,0.651831146484902,132514130,360270363
London,18,96,60000,3,reachable_union,fine,2,42.992912809,293.2605110000004,5099421216,0.001999398,0.0,29110259712,0.6652140348582917,132514130,360270363
London,18,96,60000,3,reachable_union,boarding,2,5.86385521,38.46847499999967,2434762344,0.0,0.0,25783103488,0.6841105137010541,9027942,21871881
London,18,96,60000,3,reachable_union,boarding,3,5.83685885,38.456474999999045,2434782408,0.0,0.0,22039326720,0.6756245270361168,9027942,21871881
London,18,96,60000,3,reachable_union,fine,3,42.966634452,294.16424800000095,5099195784,0.001573006,0.0,25305919488,0.6834547870561377,132514130,360270363
London,6,180,60000,6,mean_intersection,fine,0,48.450885759,94.92545500000051,1315370920,0.0,0.0,25678647296,1.2632286085427258,47045532,177003542
London,6,180,60000,6,mean_intersection,boarding,0,10.433276115,18.500723000001017,520735800,0.0,0.0,25798520832,1.2516947558938871,5015146,12099692
London,6,180,60000,6,mean_intersection,boarding,1,10.383793369,18.546374999999898,520741400,0.0,0.0,25815920640,1.3043041708053376,5015146,12099692
London,6,180,60000,6,mean_intersection,fine,1,48.971713491,95.81787800000166,1315372296,0.0,0.0,25937047552,1.3306073517716546,47045532,177003542
London,6,180,60000,6,mean_intersection,fine,2,49.07257631,96.00330600000052,1315373672,0.0,0.0,27101106176,1.3907297951685529,47045532,177003542
London,6,180,60000,6,mean_intersection,boarding,2,10.440236103,18.62299499999972,520745336,0.0,0.0,27358253056,1.43742007862185,5015146,12099692
London,6,180,60000,6,mean_intersection,boarding,3,10.465074447,18.617254000000685,520747192,0.0,0.0,27336507392,1.4173569500219676,5015146,12099692
London,6,180,60000,6,mean_intersection,fine,3,48.878962037,95.90017400000033,1315371608,0.0,0.0,28258938880,1.4339466936088847,47045532,177003542
London,6,180,60000,6,reachable_union,fine,0,48.805516662,95.92152999999962,1307559024,0.0,0.0,29257351168,1.515371110856186,47045532,177003542
London,6,180,60000,6,reachable_union,boarding,0,10.183328605,18.209138000000166,515035992,0.0,0.0,29356433408,1.5339642474355686,5015146,12099692
London,6,180,60000,6,reachable_union,boarding,1,10.312233824,18.298475999999937,515032168,0.0,0.0,27392024576,1.533278266373657,5015146,12099692
London,6,180,60000,6,reachable_union,fine,1,48.9996291,96.20216100000107,1307559024,0.0,0.0,28495196160,1.5411920536371448,47045532,177003542
London,6,180,60000,6,reachable_union,fine,2,47.597743448,93.63526399999864,1307558336,0.0,0.0,28434632704,1.209820714775777,47045532,177003542
London,6,180,60000,6,reachable_union,boarding,2,9.610368928,17.17090200000166,515031224,0.0,0.0,24524414976,0.6440021237844793,5015146,12099692
London,6,180,60000,6,reachable_union,boarding,3,9.594088582,17.130183999999645,515034216,0.0,0.0,23320260608,0.6284928420762993,5015146,12099692
London,6,180,60000,6,reachable_union,fine,3,46.433216474,90.92312500000116,1307556272,0.0,0.0,24122912768,0.718168533910922,47045532,177003542
London,6,180,60000,12,mean_intersection,fine,0,115.205719159,227.94630599999982,1406350352,0.0,0.0,25165844480,0.9049350567055524,82342775,335075240
London,6,180,60000,12,mean_intersection,boarding,0,28.43784025,51.86312600000019,563448424,0.0,0.0,24062353408,1.9634709777214265,10375770,25983402
London,6,180,60000,12,mean_intersection,boarding,1,29.859129241,54.543783000000985,563449448,0.0,0.0,22958227456,2.6292199067964637,10375770,25983402
London,6,180,60000,12,mean_intersection,fine,1,130.968146898,257.8836569999985,1406351040,0.0,0.0,24001785856,2.255940471007743,82342775,335075240
London,6,180,60000,12,mean_intersection,fine,2,121.23590553,239.20571899999777,1406351040,0.0,0.0,25105604608,1.5201295374858923,82342775,335075240
London,6,180,60000,12,mean_intersection,boarding,2,25.720808908,46.64928100000179,563452360,0.0,0.0,25098780672,0.7951040370946696,10375770,25983402
London,6,180,60000,12,mean_intersection,boarding,3,25.649807789,46.544386999998096,563451416,0.0,0.0,23074009088,0.8372621415600008,10375770,25983402
London,6,180,60000,12,mean_intersection,fine,3,116.379919286,229.82483500000308,1406351040,0.0,0.0,24091639808,0.9850940411655733,82342775,335075240
London,6,180,60000,12,reachable_union,fine,0,114.164605412,225.3217599999989,1376629360,0.0,0.0,24091639808,0.9206727393375131,82342775,335075240
London,6,180,60000,12,reachable_union,boarding,0,24.116458605,44.03277600000001,545763016,0.0,0.0,24212467712,0.6434287991533472,10375770,25983402
London,6,180,60000,12,reachable_union,boarding,1,24.267406491,44.10924800000066,545764872,0.0,0.0,23148081152,0.6659447521106744,10375770,25983402
London,6,180,60000,12,reachable_union,fine,1,113.557082982,223.64010499999858,1376630048,0.0,0.0,24259956736,0.8190585083518547,82342775,335075240
London,6,180,60000,12,reachable_union,fine,2,115.930485981,228.00123200000235,1376628672,0.0,0.0,24199389184,0.9750564490738094,82342775,335075240
London,6,180,60000,12,reachable_union,boarding,2,26.667652533,48.47357499999998,545764040,0.0,0.0,24380182528,1.829798289880795,10375770,25983402
London,6,180,60000,12,reachable_union,boarding,3,27.880612156,50.4501339999988,545764984,0.0,0.0,23341842432,2.522536650433406,10375770,25983402
London,6,180,60000,12,reachable_union,fine,3,128.862018694,253.77955500000098,1376630048,0.0,0.0,24325140480,2.1474166539103234,82342775,335075240
