city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error,relative_error
Paris,6,180,60000,12,mean_intersection,881fb4675bfffff,2.81764828e8,2.6151154e8,-2.0253288e7,-0.07188011414966243
Paris,6,180,60000,12,mean_intersection,881fb4644bfffff,2.81466934e8,2.61363192e8,-2.0103742e7,-0.07142488005358384
Paris,6,180,60000,12,mean_intersection,881fb46441fffff,2.8189002e8,2.61818937e8,-2.0071083e7,-0.07120182190203116
Paris,6,180,60000,12,mean_intersection,881fb46449fffff,2.81659621e8,2.61683053e8,-1.9976568e7,-0.07092450074694945
Paris,6,180,60000,12,mean_intersection,881fb4644dfffff,2.81763447e8,2.61840047e8,-1.99234e7,-0.07070966873854294
Paris,6,180,60000,12,mean_intersection,881fb46445fffff,2.81386885e8,2.61842449e8,-1.9544436e7,-0.06945752286926947
Paris,6,180,60000,12,mean_intersection,881fb4662dfffff,2.81961995e8,2.62593566e8,-1.9368429e7,-0.06869162987728186
Paris,6,180,60000,12,reachable_union,881fb4655bfffff,2.953088045722222e8,2.760313257944449e8,-1.9277478777777255e7,-0.06527905189180588
Paris,6,180,60000,12,reachable_union,881fb4642dfffff,2.947978744388888e8,2.7577780171666723e8,-1.9020072722221553e7,-0.06451902938046587
Paris,6,180,60000,12,reachable_union,881fb46461fffff,2.963342263333334e8,2.7743468991666776e8,-1.8899536416665614e7,-0.06377777096664614
Paris,6,180,60000,12,reachable_union,881fb46457fffff,2.962954997333334e8,2.7747739734444475e8,-1.8818102388888657e7,-0.06351126630618754
Paris,6,180,60000,12,reachable_union,881fb46453fffff,2.953995487277777e8,2.766246888444448e8,-1.877485988333291e7,-0.06355751037600493
Paris,6,180,60000,12,reachable_union,881fb46467fffff,2.9577615126666653e8,2.770326728222226e8,-1.874347844444394e7,-0.0633704859711463
Paris,6,180,60000,12,reachable_union,881fb475b9fffff,2.962219217388888e8,2.7748584272222185e8,-1.873607901666695e7,-0.06325014336103818
Paris,6,180,60000,12,reachable_union,881fb46451fffff,2.964944532666666e8,2.777828220611113e8,-1.871163120555532e7,-0.06310954892881626
Paris,6,180,60000,12,reachable_union,881fb46429fffff,2.9520403308888894e8,2.7652132031111157e8,-1.8682712777777374e7,-0.06328745777044252
Paris,6,180,60000,12,reachable_union,881fb4640bfffff,2.9587954074444425e8,2.773360900333337e8,-1.8543450711110532e7,-0.06267229786978343
London,6,4,60000,3,mean_intersection,88194ada53fffff,4.2236637e7,3.0314128e7,-1.1922509e7,-0.2822788424182541
London,6,4,60000,3,mean_intersection,88194ada51fffff,4.296009e7,3.1241294e7,-1.1718796e7,-0.27278332051911436
London,6,4,60000,3,mean_intersection,88194ada5bfffff,4.2742816e7,3.1548848e7,-1.1193968e7,-0.2618912146546451
London,6,4,60000,3,mean_intersection,88194ad061fffff,4.2154816e7,3.1353417e7,-1.0801399e7,-0.25623167231948063
London,6,4,60000,3,mean_intersection,88194ad161fffff,4.4356232e7,3.4991304e7,-9.364928e6,-0.21112992645543022
London,6,4,60000,3,mean_intersection,88194ad025fffff,4.2001497e7,3.2860055e7,-9.141442e6,-0.21764562344051688
London,6,4,60000,3,mean_intersection,88195da4b5fffff,4.4379472e7,3.5263626e7,-9.115846e6,-0.20540681511488015
London,6,4,60000,3,mean_intersection,88194ad10bfffff,4.325376e7,3.4281796e7,-8.971964e6,-0.20742622144294506
London,6,4,60000,3,mean_intersection,88194ad105fffff,4.3252001e7,3.4289355e7,-8.962646e6,-0.2072192220655872
London,6,4,60000,3,mean_intersection,88195da4a3fffff,4.4270492e7,3.5403904e7,-8.866588e6,-0.20028212019870933
London,6,4,60000,3,reachable_union,88194ad061fffff,4.29025255e7,3.170548175e7,-1.119704375e7,-0.2609879865930037
London,6,4,60000,3,reachable_union,88194ada53fffff,4.347226875e7,3.231423475e7,-1.1158034e7,-0.2566701559600567
London,6,4,60000,3,reachable_union,88194ada51fffff,4.370613825e7,3.397745825e7,-9.72868e6,-0.22259299012765102
London,6,4,60000,3,reachable_union,88194ada59fffff,4.462917275e7,3.5472056e7,-9.15711675e6,-0.20518230981550067
London,6,4,60000,3,reachable_union,88194ad105fffff,4.44314965e7,3.528022325e7,-9.15127325e6,-0.20596365125806645
London,6,4,60000,3,reachable_union,88194ad10bfffff,4.4432598e7,3.533261925e7,-9.09997875e6,-0.2048041113868696
London,6,4,60000,3,reachable_union,88195da4b5fffff,4.552064e7,3.6495841e7,-9.024799e6,-0.19825729603098727
London,6,4,60000,3,reachable_union,88194ad025fffff,4.27507005e7,3.37264245e7,-9.024276e6,-0.2110907165135224
London,6,4,60000,3,reachable_union,88194ad165fffff,4.436677475e7,3.5532821e7,-8.83395375e6,-0.19911192102148467
London,6,4,60000,3,reachable_union,88194ada49fffff,4.462181475e7,3.58646665e7,-8.75714825e6,-0.19625262439600802
London,18,96,900000,3,mean_intersection,88194ad83bfffff,9.921986e6,1.1545805e7,1.623819e6,0.16365866672256946
