city,radius,samples,step_ms,hours,mode,origin_h3,fine,boarding,signed_error
Paris,6,4,60000,3,reachable_union,881fb46607fffff,2.8229304e7,2.746969775e7,-759606.25
Paris,6,4,60000,3,reachable_union,881fb46609fffff,3.027424425e7,2.82688105e7,-2.00543375e6
Paris,6,4,60000,3,reachable_union,881fb4660bfffff,2.855463175e7,2.692229625e7,-1.6323355e6
Paris,6,4,60000,3,reachable_union,881fb4660dfffff,3.360796e7,3.309974625e7,-508213.75
Paris,6,4,60000,3,reachable_union,881fb46611fffff,2.73505625e7,2.37228245e7,-3.627738e6
Paris,6,4,60000,3,reachable_union,881fb46615fffff,2.7899679e7,2.64461275e7,-1.4535515e6
Paris,6,4,60000,3,reachable_union,881fb46617fffff,2.766973075e7,2.22455705e7,-5.42416025e6
Paris,6,4,60000,3,reachable_union,881fb46619fffff,2.75005125e7,2.331866425e7,-4.18184825e6
Paris,6,4,60000,3,reachable_union,881fb4661dfffff,2.813983275e7,2.688714925e7,-1.2526835e6
Paris,6,4,60000,3,reachable_union,881fb46621fffff,2.823182375e7,2.553049175e7,-2.701332e6
Paris,6,4,60000,3,reachable_union,881fb46623fffff,2.8529288e7,2.473401525e7,-3.79527275e6
Paris,6,4,60000,3,reachable_union,881fb46625fffff,2.847446825e7,2.486159175e7,-3.6128765e6
Paris,6,4,60000,3,reachable_union,881fb46627fffff,2.80480135e7,2.49256165e7,-3.122397e6
Paris,6,4,60000,3,reachable_union,881fb46629fffff,2.8773186e7,2.780199875e7,-971187.25
Paris,6,4,60000,3,reachable_union,881fb4662bfffff,2.871560975e7,2.7906871e7,-808738.75
Paris,6,4,60000,3,reachable_union,881fb4662dfffff,2.8773186e7,2.54369785e7,-3.3362075e6
Paris,6,4,60000,3,reachable_union,881fb46631fffff,2.794623375e7,2.292343575e7,-5.022798e6
Paris,6,4,60000,3,reachable_union,881fb46633fffff,2.7692091e7,2.23774105e7,-5.3146805e6
Paris,6,4,60000,3,reachable_union,881fb46635fffff,2.80943095e7,2.332856475e7,-4.76574475e6
Paris,6,4,60000,3,reachable_union,881fb46637fffff,2.794137075e7,2.1093791e7,-6.84757975e6
Paris,6,4,60000,3,reachable_union,881fb46639fffff,2.77963875e7,2.660470525e7,-1.19168225e6
Paris,6,4,60000,3,reachable_union,881fb4663bfffff,2.78300175e7,2.2917898e7,-4.9121195e6
Paris,6,4,60000,3,reachable_union,881fb4663dfffff,2.82887105e7,2.4973249e7,-3.3154615e6
Paris,6,4,60000,3,reachable_union,881fb46641fffff,2.7619216e7,2.6622943e7,-996273.0
Paris,6,4,60000,3,reachable_union,881fb46643fffff,2.8682046e7,2.653286125e7,-2.14918475e6
Paris,6,4,60000,3,reachable_union,881fb46645fffff,2.87283865e7,2.7333475e7,-1.3949115e6
Paris,6,4,60000,3,reachable_union,881fb46647fffff,2.87533855e7,2.823668e7,-516705.5
Paris,6,4,60000,3,reachable_union,881fb4664dfffff,2.844293925e7,2.592475225e7,-2.518187e6
Paris,6,4,60000,3,reachable_union,881fb46655fffff,2.822943875e7,2.65478045e7,-1.68163425e6
Paris,6,4,60000,3,reachable_union,881fb46657fffff,2.822943875e7,2.541585125e7,-2.8135875e6
Paris,6,4,60000,3,reachable_union,881fb46661fffff,2.87156075e7,2.745293325e7,-1.26267425e6
Paris,6,4,60000,3,reachable_union,881fb46663fffff,3.0259384e7,2.8000667e7,-2.258717e6
